"STATE","STATE_NAME","state_pop","state_pop_urban","state_pop_rural","STATEFP","STUSPS","electricity_pop_pct_rural","electricity_pop_pct_urban","utilitygas_pop_pct_rural","utilitygas_pop_pct_urban","wood_pop_pct_rural","wood_pop_pct_urban","bottledgas_pop_pct_rural","bottledgas_pop_pct_urban","fueloil_pop_pct_rural","fueloil_pop_pct_urban","state_fp_2_digit","hh_hp_savings_electricity","hh_hp_savings_utilitygas","hh_hp_savings_wood","hh_hp_savings_lpgas","hh_hp_savings_fueloil"
"23","Maine",1362359,526309,836050,23,"ME",NA,NA,NA,NA,NA,NA,NA,NA,100,100,"23",NA,NA,NA,NA,15.7308267636983
"24","Maryland",6177224,5288760,888464,24,"MD",93.3382361103402,38.4208127814712,NA,61.5791872185288,NA,NA,NA,NA,6.66176388965977,NA,"24",1174.44004624646,256.734443227924,NA,NA,403.58
"25","Massachusetts",7029917,6416895,613022,25,"MA",NA,NA,NA,84.7781139745316,NA,NA,NA,0.500870253983108,100,14.7210157714853,"25",NA,-23.6377998272987,NA,1453.50923624701,-76.6538174668512
"26","Michigan",10077331,7404258,2673073,26,"MI",NA,NA,88.5994835269005,100,NA,NA,11.4005164730995,NA,NA,NA,"26",NA,-1056.42686457314,NA,336.481041702104,NA
"27","Minnesota",5706494,4101754,1604740,27,"MN",1.68368331383295,NA,76.7749245643205,100,NA,NA,21.5413921218466,NA,NA,NA,"27",1721.75184879536,-918.906665308402,NA,-38.2097107979317,NA
"28","Mississippi",2961279,1370790,1590489,28,"MS",89.5625763621409,73.3225190957451,8.92595234736223,26.6774809042549,NA,NA,1.51147129049689,NA,NA,NA,"28",692.349930803705,155.756117046007,NA,549.83247032034,NA
"29","Missouri",6154913,4275663,1879250,29,"MO",81.7464449084833,17.3376967682888,13.56484956153,82.6623032317112,NA,NA,4.68870552998673,NA,NA,NA,"29",1120.3675687996,71.4453509239875,NA,376.279223908488,NA
"30","Montana",1084225,579177,505048,30,"MT",14.5870896610241,NA,70.5646145915294,100,1.11857375063822,NA,13.7297219968083,NA,NA,NA,"30",1876.74680056871,-476.812077992716,87.1727,497.658051902283,NA
"31","Nebraska",1961504,1432003,529501,31,"NE",27.7565299814758,3.39142599479301,67.2057463327379,96.608574005207,NA,NA,5.03772368578629,NA,NA,NA,"31",1446.46386192388,-273.463947649533,NA,192.291139957265,NA
"32","Nevada",3104614,2921203,183411,32,"NV",14.9372435566018,1.71187842746491,72.6962720142563,98.2881215725351,2.84246537670366,NA,9.52401905243821,NA,NA,NA,"32",1579.29410101805,-179.787142597122,-197.990063642428,840.728975333479,NA
"33","New Hampshire",1377529,803420,574109,33,"NH",NA,NA,NA,48.7253485591047,NA,NA,NA,NA,100,51.2746514408953,"33",NA,-76.4074,NA,NA,-170.6455013555
"34","New Jersey",9288994,8708779,580215,34,"NJ",NA,NA,100,98.4143191855933,NA,NA,NA,NA,NA,1.5856808144067,"34",NA,-130.847087504921,NA,NA,232.2725
"35","New Mexico",2117522,1578552,538970,35,"NM",1.34937860114203,18.3586131518482,70.9463736661241,80.1368218782254,26.0541818463685,1.5045649699264,1.6500658863654,NA,NA,NA,"35",884.598782152639,-237.143382828805,-46.6736616262358,635.808795694295,NA
"36","New York",20201249,17665166,2536083,36,"NY",NA,NA,57.1364994331846,89.4969176898263,NA,NA,0.929442256751023,NA,41.9340583100644,10.5030823101737,"36",NA,-147.135386063862,NA,1520.2737,112.044124570284
"37","North Carolina",10439388,6964727,3474661,37,"NC",99.8362174620952,100,NA,NA,NA,NA,0.163782537904826,NA,NA,NA,"37",913.34836704665,NA,NA,645.1015,NA
"38","North Dakota",779094,474989,304105,38,"ND",56.9065664100575,53.5454403903047,21.1523542400191,46.4545596096953,NA,NA,21.9410793499234,NA,NA,NA,"38",1447.07963651933,-763.940165604488,NA,94.1443628679017,NA
"39","Ohio",11799448,9001099,2798349,39,"OH",24.9300978180437,3.43787678386999,73.4967655049611,96.56212321613,NA,NA,1.57313667699521,NA,NA,NA,"39",1098.8771620617,117.844581405323,NA,1098.8759,NA
